Year,Animal_Type,breed,cnt,total,share,rank_in_year_type,prev_cnt,yoy_cnt_diff,yoy_cnt_pct_change,prev_share,yoy_share_point_diff,yoy_share_pct_change
2025,CAT,MIX OF MAINE CO,1,15290,0.0001,54,null,null,null,null,null,null
2023,CAT,MIXED BREED,1,17747,0.0001,45,null,null,null,null,null,null
2024,CAT,MIXED BREED,3,18729,0.0002,39,1,2,2,0.0001,0.0001,1
2025,CAT,MIXED BREED,4,15290,0.0003,36,3,1,0.3333,0.0002,0.0001,0.5
2023,CAT,MUNCHKIN,8,17747,0.0005,27,null,null,null,null,null,null
2024,CAT,MUNCHKIN,8,18729,0.0004,32,8,0,0,0.0005,-0.0001,-0.2
2025,CAT,MUNCHKIN,8,15290,0.0005,29,8,0,0,0.0004,0.0001,0.25
2025,CAT,NEBELUNG,1,15290,0.0001,55,null,null,null,null,null,null
2025,CAT,NO BREED,1,15290,0.0001,56,null,null,null,null,null,null
2023,CAT,NORWEGIAN FOREST CAT,19,17747,0.0011,19,null,null,null,null,null,null
2024,CAT,NORWEGIAN FOREST CAT,19,18729,0.001,20,19,0,0,0.0011,-0.0001,-0.0909
2025,CAT,NORWEGIAN FOREST CAT,20,15290,0.0013,19,19,1,0.0526,0.001,0.0003,0.3
2023,CAT,OCICAT,8,17747,0.0005,28,null,null,null,null,null,null
2024,CAT,OCICAT,4,18729,0.0002,37,8,-4,-0.5,0.0005,-0.0003,-0.6
2025,CAT,OCICAT,2,15290,0.0001,43,4,-2,-0.5,0.0002,-0.0001,-0.5
2025,CAT,OCICAT X,1,15290,0.0001,57,null,null,null,null,null,null
2023,CAT,ORIENTAL SHORTHAIR,9,17747,0.0005,24,null,null,null,null,null,null
2024,CAT,ORIENTAL SHORTHAIR,10,18729,0.0005,26,9,1,0.1111,0.0005,0,0
2025,CAT,ORIENTAL SHORTHAIR,6,15290,0.0004,33,10,-4,-0.4,0.0005,-0.0001,-0.2
2023,CAT,PERSIAN,134,17747,0.0076,8,null,null,null,null,null,null
2024,CAT,PERSIAN,145,18729,0.0077,9,134,11,0.0821,0.0076,0.0001,0.0132
2025,CAT,PERSIAN,116,15290,0.0076,10,145,-29,-0.2,0.0077,-0.0001,-0.013
2025,CAT,PERSIAN AND HIM,1,15290,0.0001,58,null,null,null,null,null,null
2023,CAT,PIXIE-BOB,2,17747,0.0001,38,null,null,null,null,null,null
2024,CAT,PIXIE-BOB,2,18729,0.0001,41,2,0,0,0.0001,0,0
2025,CAT,PIXIE-BOB,3,15290,0.0002,40,2,1,0.5,0.0001,0.0001,1
2023,CAT,RAGDOLL,176,17747,0.0099,5,null,null,null,null,null,null
2024,CAT,RAGDOLL,203,18729,0.0108,6,176,27,0.1534,0.0099,0.0009,0.0909
2025,CAT,RAGDOLL,186,15290,0.0122,5,203,-17,-0.0837,0.0108,0.0014,0.1296
2023,CAT,RUSSIAN BLUE,111,17747,0.0063,10,null,null,null,null,null,null
