Year,Animal_Type,FSA,total,top1_breed,top1_cnt,top2_breed,top2_cnt,top3_breed,top3_cnt
2024,DOG,M2K,358,LABRADOR RETRIEVER,26,COCKER SPANIEL,21,MALTESE,21
2024,DOG,M2L,232,GOLDEN RETRIEVER,25,LABRADOR RETRIEVER,18,GERMAN SHEPHERD DOG,14
2024,DOG,M2M,292,GOLDEN RETRIEVER,22,GERMAN SHEPHERD DOG,21,SHIHTZU,21
2024,DOG,M2N,877,GOLDEN RETRIEVER,74,LABRADOR RETRIEVER,56,POODLE MINIATURE,47
2024,DOG,M2P,194,GOLDEN RETRIEVER,23,LABRADOR RETRIEVER,13,GERMAN SHEPHERD DOG,8
2024,DOG,M2R,393,GOLDEN RETRIEVER,35,SHIHTZU,33,LABRADOR RETRIEVER,29
2024,DOG,M3A,507,LABRADOR RETRIEVER,44,GERMAN SHEPHERD DOG,38,GOLDEN RETRIEVER,33
2024,DOG,M3B,270,LABRADOR RETRIEVER,32,GOLDEN RETRIEVER,25,GERMAN SHEPHERD DOG,16
2024,DOG,M3C,298,LABRADOR RETRIEVER,27,GOLDEN RETRIEVER,22,GERMAN SHEPHERD DOG,19
2024,DOG,M3H,670,GOLDEN RETRIEVER,69,LABRADOR RETRIEVER,51,COCKER SPANIEL,42
2024,DOG,M3J,228,LABRADOR RETRIEVER,17,MALTESE,16,AMERICAN BULLDOG,15
2024,DOG,M3K,101,SHIHTZU,11,CHIHUAHUA SHORTHAIR,8,LABRADOR RETRIEVER,8
2024,DOG,M3L,189,GERMAN SHEPHERD DOG,16,SHIHTZU,16,CHIHUAHUA SHORTHAIR,12
2024,DOG,M3M,243,SHIHTZU,25,GERMAN SHEPHERD DOG,24,LABRADOR RETRIEVER,17
2024,DOG,M3N,247,SHIHTZU,21,LABRADOR RETRIEVER,20,COCKER SPANIEL,18
2024,DOG,M4A,173,GOLDEN RETRIEVER,15,GERMAN SHEPHERD DOG,14,LABRADOR RETRIEVER,13
2024,DOG,M4B,377,GERMAN SHEPHERD DOG,33,LABRADOR RETRIEVER,26,COCKER SPANIEL,20
2024,DOG,M4C,975,LABRADOR RETRIEVER,98,GOLDEN RETRIEVER,60,GERMAN SHEPHERD DOG,59
2024,DOG,M4E,987,LABRADOR RETRIEVER,122,GOLDEN RETRIEVER,106,AUSTRALIAN SHEPHERD,38
2024,DOG,M4G,645,GOLDEN RETRIEVER,97,LABRADOR RETRIEVER,83,COCKER SPANIEL,32
2024,DOG,M4H,40,GOLDEN RETRIEVER,4,SHIHTZU,4,AMERICAN BULLDOG,3
2024,DOG,M4J,978,LABRADOR RETRIEVER,131,GOLDEN RETRIEVER,86,GERMAN SHEPHERD DOG,59
2024,DOG,M4K,863,LABRADOR RETRIEVER,95,GOLDEN RETRIEVER,66,GERMAN SHEPHERD DOG,43
2024,DOG,M4L,1143,LABRADOR RETRIEVER,155,GOLDEN RETRIEVER,85,GERMAN SHEPHERD DOG,63
2024,DOG,M4M,676,GOLDEN RETRIEVER,68,LABRADOR RETRIEVER,62,GERMAN SHEPHERD DOG,32
2024,DOG,M4N,561,GOLDEN RETRIEVER,85,LABRADOR RETRIEVER,76,COCKER SPANIEL,35
2024,DOG,M4P,589,LABRADOR RETRIEVER,55,GOLDEN RETRIEVER,46,SHIHTZU,26
2024,DOG,M4R,428,GOLDEN RETRIEVER,58,LABRADOR RETRIEVER,46,POODLE MINIATURE,22
2024,DOG,M4S,845,LABRADOR RETRIEVER,115,GOLDEN RETRIEVER,77,POODLE MINIATURE,41
2024,DOG,M4T,378,LABRADOR RETRIEVER,49,GOLDEN RETRIEVER,38,POODLE STANDARD,19
2024,DOG,M4V,654,LABRADOR RETRIEVER,71,GOLDEN RETRIEVER,59,POODLE MINIATURE,34
2024,DOG,M4W,474,LABRADOR RETRIEVER,62,GOLDEN RETRIEVER,50,POODLE MINIATURE,25
2024,DOG,M4X,310,LABRADOR RETRIEVER,31,GOLDEN RETRIEVER,23,SHIHTZU,13
2024,DOG,M4Y,547,LABRADOR RETRIEVER,52,CHIHUAHUA SHORTHAIR,30,MALTESE,24
2024,DOG,M5A,1030,LABRADOR RETRIEVER,81,GOLDEN RETRIEVER,50,CHIHUAHUA SHORTHAIR,39
2024,DOG,M5B,204,LABRADOR RETRIEVER,24,GOLDEN RETRIEVER,12,BEAGLE,9
2024,DOG,M5C,54,YORKSHIRE TERRIER,5,COCKER SPANIEL,4,BEAGLE,3
2024,DOG,M5E,198,COCKER SPANIEL,14,CHIHUAHUA SHORTHAIR,12,LABRADOR RETRIEVER,12
2024,DOG,M5G,86,GOLDEN RETRIEVER,8,YORKSHIRE TERRIER,7,SIBERIAN HUSKY,5
2024,DOG,M5H,37,FRENCH BULLDOG,4,GOLDEN RETRIEVER,3,LABRADOR RETRIEVER,3
2024,DOG,M5J,172,LABRADOR RETRIEVER,16,GOLDEN RETRIEVER,11,POMERANIAN,10
2024,DOG,M5L,1,AUSTRALIAN SHEPHERD,1,null,null,null,null
2024,DOG,M5M,835,LABRADOR RETRIEVER,109,GOLDEN RETRIEVER,106,POODLE MINIATURE,49
2024,DOG,M5N,430,GOLDEN RETRIEVER,57,LABRADOR RETRIEVER,40,AUSTRALIAN SHEPHERD,27
2024,DOG,M5P,574,GOLDEN RETRIEVER,62,LABRADOR RETRIEVER,59,POODLE MINIATURE,28
2024,DOG,M5R,700,LABRADOR RETRIEVER,55,GOLDEN RETRIEVER,53,POODLE MINIATURE,41
2024,DOG,M5S,246,LABRADOR RETRIEVER,30,POODLE MINIATURE,14,GOLDEN RETRIEVER,13
2024,DOG,M5T,253,LABRADOR RETRIEVER,25,CHIHUAHUA SHORTHAIR,19,GOLDEN RETRIEVER,14
2024,DOG,M5V,1071,LABRADOR RETRIEVER,83,GOLDEN RETRIEVER,75,POODLE MINIATURE,50
2024,DOG,M6A,248,GOLDEN RETRIEVER,24,LABRADOR RETRIEVER,19,SHIHTZU,16
2024,DOG,M6B,384,GOLDEN RETRIEVER,37,LABRADOR RETRIEVER,32,GERMAN SHEPHERD DOG,22
2024,DOG,M6C,579,LABRADOR RETRIEVER,85,GOLDEN RETRIEVER,55,POODLE MINIATURE,36
2024,DOG,M6E,625,LABRADOR RETRIEVER,49,GOLDEN RETRIEVER,36,SHIHTZU,35
2024,DOG,M6G,760,LABRADOR RETRIEVER,104,GOLDEN RETRIEVER,71,COCKER SPANIEL,31
