Year,Animal_Type,FSA,total,top1_breed,top1_cnt,top2_breed,top2_cnt,top3_breed,top3_cnt
2025,DOG,M4P,512,LABRADOR RETRIEVER,52,GOLDEN RETRIEVER,46,BERNESE MOUNTAIN DOG,23
2025,DOG,M4R,342,GOLDEN RETRIEVER,45,LABRADOR RETRIEVER,37,POODLE MINIATURE,18
2025,DOG,M4S,777,LABRADOR RETRIEVER,104,GOLDEN RETRIEVER,87,POODLE MINIATURE,31
2025,DOG,M4T,317,LABRADOR RETRIEVER,39,GOLDEN RETRIEVER,32,POODLE STANDARD,22
2025,DOG,M4V,595,GOLDEN RETRIEVER,68,LABRADOR RETRIEVER,62,POODLE MINIATURE,28
2025,DOG,M4W,477,GOLDEN RETRIEVER,96,LABRADOR RETRIEVER,46,POODLE MINIATURE,20
2025,DOG,M4X,291,LABRADOR RETRIEVER,32,COCKER SPANIEL,30,GOLDEN RETRIEVER,22
2025,DOG,M4Y,558,LABRADOR RETRIEVER,43,GOLDEN RETRIEVER,28,UNKNOWN,26
2025,DOG,M5A,1087,GERMAN SHEPHERD DOG,85,LABRADOR RETRIEVER,74,GOLDEN RETRIEVER,67
2025,DOG,M5B,192,LABRADOR RETRIEVER,17,GOLDEN RETRIEVER,12,SHIHTZU,11
2025,DOG,M5C,56,SHIBA INU,5,COCKER SPANIEL,3,FRENCH BULLDOG,3
2025,DOG,M5E,199,CHIHUAHUA SHORTHAIR,15,LABRADOR RETRIEVER,13,GOLDEN RETRIEVER,12
2025,DOG,M5G,79,GOLDEN RETRIEVER,11,UNKNOWN,10,AUSTRALIAN SHEPHERD,7
2025,DOG,M5H,47,POODLE MINIATURE,8,POODLE TOY,6,LABRADOR RETRIEVER,5
2025,DOG,M5J,221,UNKNOWN,23,LABRADOR RETRIEVER,18,SIBERIAN HUSKY,13
2025,DOG,M5L,1,AUSTRALIAN SHEPHERD,1,,,,
2025,DOG,M5M,727,GOLDEN RETRIEVER,91,LABRADOR RETRIEVER,73,POODLE MINIATURE,49
